  0.239E+00 

 -------------neutrino information follows----------                                                                              
                                                                                                                                  
   14 0.806E+05 0.254E+24 0.284E+25 0.299E+28
   15 0.102E+06 0.506E+21 0.831E+22 0.118E+26
   16 0.128E+06 0.146E+18 0.377E+19 0.193E+24
   17 0.161E+06 0.362E+13 0.163E+15 0.418E+22
   18 0.203E+06 0.121E+08 0.649E+09 0.531E+20
   19 0.256E+06 0.410E+03 0.199E+05 0.470E+18
   20 0.323E+06 0.998E+00 0.678E-01 0.293E+16
   21 0.406E+06 0.997E+00 0.211E-03 0.129E+14

finished with time-=  0.450E+00 


  0.550E+00 

 -------------neutrino information follows----------                                                                              
                                                                                                                                  
       onue-          oanue-         omutaue-      tot e-out                                                                      
      1.933e+52      1.663e+52      6.078e+52      9.674e+52                                                                      
                                                                                                                                  
       onun           oanun          omutaun       tot n out                                                                      
      1.244e+57      8.051e+56      2.280e+57      4.329e+57                                                                      
                                                                                                                                  
  2.036e+52     1.765e+52    6.390e+52                                                        
                                                                                                                                  
  2.020e+06           1.969e+06    2.106e+06                                     
                                                                                                                                  
  1.059e+00      8.875e-01                                                                          
                                                                                                                                  
          neutrino edit r=  3.000e+07                                                                                             
                                                                                                                                  
  1.214e+04    1.553e+04    2.013e+04                                

    j    g         f          h        hm
    1 0.400E+04 0.276E+30 0.762E+29 0.225E+30
    2 0.504E+04 0.471E+30 0.176E+30 0.396E+30
    3 0.635E+04 0.760E+30 0.348E+30 0.673E+30
    4 0.800E+04 0.112E+31 0.615E+30 0.108E+31
    5 0.101E+05 0.141E+31 0.964E+30 0.161E+31
    6 0.127E+05 0.145E+31 0.129E+31 0.220E+31
    7 0.160E+05 0.117E+31 0.142E+31 0.274E+31
    8 0.202E+05 0.718E+30 0.119E+31 0.302E+31
    9 0.254E+05 0.315E+30 0.711E+30 0.282E+31
   10 0.320E+05 0.900E+29 0.274E+30 0.208E+31
   11 0.403E+05 0.148E+29 0.608E+29 0.111E+31
   12 0.508E+05 0.121E+28 0.671E+28 0.362E+30
   13 0.640E+05 0.405E+26 0.305E+27 0.589E+29
   14 0.806E+05 0.431E+24 0.450E+25 0.350E+28
   15 0.102E+06 0.107E+22 0.159E+23 0.224E+26
   16 0.128E+06 0.410E+18 0.922E+19 0.325E+24
   17 0.161E+06 0.149E+14 0.552E+15 0.607E+22
   18 0.203E+06 0.285E+08 0.203E+10 0.758E+20
   19 0.256E+06 0.187E+03 0.860E+04 0.698E+18
   20 0.323E+06 0.998E+00 0.100E+00 0.466E+16
   21 0.406E+06 0.997E+00 0.486E-04 0.232E+14

finished with time-=  0.550E+00 


  0.674E+00 

 -------------neutrino information follows----------                                                                              
                                                                                                                                  
       onue-          oanue-         omutaue-      tot e-out                                                                      
      2.078e+52      1.834e+52      6.659e+52      1.057e+53                                                                      
                                                                                                                                  
       onun           oanun          omutaun       tot n out                                                                      
      1.319e+57      8.736e+56      2.460e+57      4.652e+57                                                                      
                                                                                                                                  
  2.176e+52     1.933e+52    6.968e+52                                                        
                                                                                                                                  
  1.877e+06           1.831e+06    1.951e+06                                     
                                                                                                                                  
  1.064e+00      8.786e-01                                                                          
                                                                                                                                  
          neutrino edit r=  3.000e+07                                                                                             
                                                                                                                                  
  1.247e+04    1.591e+04    2.052e+04                                

    j    g         f          h        hm
    1 0.400E+04 0.228E+30 0.591E+29 0.181E+30
    2 0.504E+04 0.391E+30 0.139E+30 0.319E+30
    3 0.635E+04 0.635E+30 0.277E+30 0.545E+30
    4 0.800E+04 0.942E+30 0.495E+30 0.879E+30
    5 0.101E+05 0.122E+31 0.786E+30 0.132E+31
    6 0.127E+05 0.129E+31 0.107E+31 0.182E+31
    7 0.160E+05 0.108E+31 0.120E+31 0.227E+31
    8 0.202E+05 0.685E+30 0.104E+31 0.254E+31
    9 0.254E+05 0.316E+30 0.650E+30 0.241E+31
   10 0.320E+05 0.964E+29 0.265E+30 0.182E+31
   11 0.403E+05 0.173E+29 0.633E+29 0.100E+31
   12 0.508E+05 0.158E+28 0.768E+28 0.346E+30
   13 0.640E+05 0.608E+26 0.396E+27 0.607E+29
   14 0.806E+05 0.778E+24 0.689E+25 0.402E+28
   15 0.102E+06 0.244E+22 0.302E+23 0.389E+26
   16 0.128E+06 0.127E+19 0.231E+20 0.562E+24
   17 0.161E+06 0.669E+14 0.193E+16 0.901E+22
   18 0.203E+06 0.402E+09 0.150E+11 0.111E+21
   19 0.256E+06 0.609E+04 0.211E+06 0.985E+18
   20 0.323E+06 0.143E+01 0.102E+02 0.593E+16
   21 0.406E+06 0.998E+00 0.201E-01 0.256E+14

finished with time-=  0.674E+00 


  0.775E+00 

 -------------neutrino information follows----------                                                                              
                                                                                                                                  
       onue-          oanue-         omutaue-      tot e-out                                                                      
      2.187e+52      1.963e+52      7.090e+52      1.124e+53                                                                      
                                                                                                                                  
       onun           oanun          omutaun       tot n out                                                                      
      1.374e+57      9.244e+56      2.591e+57      4.889e+57                                                                      
                                                                                                                                  
  2.272e+52     2.047e+52    7.345e+52                                                        
                                                                                                                                  
  1.829e+06           1.791e+06    1.905e+06                                     
                                                                                                                                  
  1.065e+00      8.757e-01                                                                          
                                                                                                                                  
          neutrino edit r=  3.000e+07                                                                                             
                                                                                                                                  
  1.243e+04    1.593e+04    2.124e+04                                

    j    g         f          h        hm
    1 0.400E+04 0.207E+30 0.636E+29 0.170E+30
    2 0.504E+04 0.359E+30 0.148E+30 0.302E+30
    3 0.635E+04 0.590E+30 0.293E+30 0.520E+30
    4 0.800E+04 0.882E+30 0.522E+30 0.851E+30
    5 0.101E+05 0.114E+31 0.825E+30 0.130E+31
    6 0.127E+05 0.120E+31 0.112E+31 0.183E+31
    7 0.160E+05 0.991E+30 0.126E+31 0.236E+31
    8 0.202E+05 0.625E+30 0.110E+31 0.270E+31
    9 0.254E+05 0.286E+30 0.688E+30 0.263E+31
   10 0.320E+05 0.866E+29 0.282E+30 0.205E+31
   11 0.403E+05 0.154E+29 0.678E+29 0.118E+31
   12 0.508E+05 0.139E+28 0.834E+28 0.432E+30
   13 0.640E+05 0.530E+26 0.438E+27 0.849E+29
   14 0.806E+05 0.672E+24 0.782E+25 0.704E+28
   15 0.102E+06 0.209E+22 0.356E+23 0.152E+27
   16 0.128E+06 0.110E+19 0.289E+20 0.551E+24
   17 0.161E+06 0.609E+14 0.270E+16 0.166E+23
   18 0.203E+06 0.209E+09 0.181E+11 0.220E+21
   19 0.256E+06 0.213E+04 0.490E+05 0.239E+19
   20 0.323E+06 0.999E+00 0.215E+02 0.195E+17
   21 0.406E+06 0.998E+00 0.393E-01 0.120E+15

finished with time-=  0.775E+00 


  0.875E+00 

 -------------neutrino information follows----------                                                                              
                                                                                                                                  
       onue-          oanue-         omutaue-      tot e-out                                                                      
      2.290e+52      2.085e+52      7.503e+52      1.188e+53                                                                      
                                                                                                                                  
       onun           oanun          omutaun       tot n out                                                                      
      1.425e+57      9.723e+56      2.711e+57      5.108e+57                                                                      
                                                                                                                                  
  2.378e+52     2.172e+52    7.770e+52                                                        
                                                                                                                                  
  1.724e+06           1.701e+06    1.802e+06                                     
                                                                                                                                  
  1.070e+00      8.678e-01                                                                          
                                                                                                                                  
          neutrino edit r=  3.000e+07                                                                                             
                                                                                                                                  
  1.250e+04    1.596e+04    2.240e+04                                

    j    g         f          h        hm
    1 0.400E+04 0.185E+30 0.506E+29 0.120E+30
    2 0.504E+04 0.328E+30 0.129E+30 0.214E+30
    3 0.635E+04 0.552E+30 0.262E+30 0.369E+30
    4 0.800E+04 0.843E+30 0.467E+30 0.611E+30
    5 0.101E+05 0.110E+31 0.738E+30 0.962E+30
    6 0.127E+05 0.117E+31 0.100E+31 0.142E+31
    7 0.160E+05 0.961E+30 0.113E+31 0.191E+31
    8 0.202E+05 0.603E+30 0.984E+30 0.229E+31
    9 0.254E+05 0.276E+30 0.617E+30 0.232E+31
   10 0.320E+05 0.841E+29 0.254E+30 0.189E+31
   11 0.403E+05 0.152E+29 0.613E+29 0.114E+31
   12 0.508E+05 0.142E+28 0.761E+28 0.455E+30
   13 0.640E+05 0.570E+26 0.408E+27 0.106E+30
   14 0.806E+05 0.785E+24 0.754E+25 0.121E+29
   15 0.102E+06 0.280E+22 0.370E+23 0.547E+27
   16 0.128E+06 0.185E+19 0.353E+20 0.651E+25
   17 0.161E+06 0.146E+15 0.496E+16 0.221E+22
   18 0.203E+06 0.107E+10 0.874E+11 0.306E+21
   19 0.256E+06 0.493E+03 0.175E+06 0.279E+19
   20 0.323E+06 0.998E+00 0.428E-01 0.231E+17
