time =  5.0629E-01  time past bounce =  2.0128E-04  cycle =  5.1050E+03
     Lnue =  1.1087E+53  Lanue =  2.0825E+47  Lmutau =  5.8113E+46
    6 1.26992E+04 2.13631E+31 2.14783E+25 9.85482E+24
    7 1.60000E+04 7.41193E+30 1.02373E+25 5.80473E+24
    8 2.01587E+04 1.95300E+30 4.02464E+24 2.97967E+24
    9 2.53984E+04 3.63849E+29 1.24131E+24 1.28611E+24
   10 3.20000E+04 4.37980E+28 2.82002E+23 4.46214E+23
   11 4.03175E+04 3.04087E+27 4.35846E+22 1.17575E+23
   12 5.07969E+04 1.05544E+26 4.14609E+21 2.19045E+22
   13 6.40000E+04 1.52932E+24 2.13986E+20 2.63673E+21
   14 8.06350E+04 7.37202E+21 5.11147E+18 1.83067E+20
   15 1.01594E+05 1.17526E+19 4.62547E+16 6.35398E+18
   16 1.28000E+05 3.23029E+17 1.23210E+14 9.20684E+16
   17 1.61270E+05 7.62443E+15 7.03021E+10 4.43810E+14
   18 2.03187E+05 5.73850E+12 5.75691E+06 5.34650E+11
   19 2.56000E+05 5.92776E+08 4.08480E+01 1.12253E+08
   20 3.22540E+05 1.08564E+04 1.32988E-05 2.60839E+03
   21 4.06375E+05 7.54130E-01 8.91772E-14 3.78543E-03


time =  5.0710E-01  time past bounce =  1.0064E-03  cycle =  5.2430E+03
     Lnue =  1.2855E+53  Lanue =  2.9229E+47  Lmutau =  6.6301E+46
    j      g           f           h           hm
    1 4.00000E+03 2.37841E+30 9.87072E+25 4.10721E+25
    2 5.03969E+03 5.93681E+30 1.04692E+26 3.47651E+25
    3 6.34961E+03 1.39409E+31 8.94533E+25 2.81787E+25
    4 8.00000E+03 2.95096E+31 6.17575E+25 2.16265E+25
    5 1.00794E+04 3.84970E+31 3.87222E+25 1.54946E+25
    6 1.26992E+04 1.95753E+31 2.15048E+25 1.01797E+25
    7 1.60000E+04 6.79163E+30 1.02500E+25 5.99609E+24
    8 2.01587E+04 1.78956E+30 4.02961E+24 3.07790E+24
